Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2011,Kharif     ,Puducherry,60,77,1434.5875,10051.2,19.8,1.28
Bajra,2011,Kharif     ,Puducherry,11,29,1434.5875,1842.72,3.63,2.64
Bajra,2011,Summer     ,Puducherry,20,51,1434.5875,3350.4,6.6,2.55
Banana,2011,Kharif     ,Puducherry,266,3263,1434.5875,44560.32,87.78,10.90333333
Black pepper,2011,Kharif     ,Puducherry,11,5,1434.5875,1842.72,3.63,0.45
Cashewnut,2011,Kharif     ,Puducherry,159,50,1434.5875,26635.68,52.47,0.466666667
Coconut ,2011,Whole Year ,Puducherry,2095,17313000,1434.5875,350954.4,691.35,9838.6475
Cotton(lint),2011,Summer     ,Puducherry,8,8,1434.5875,1340.16,2.64,1
Dry chillies,2011,Kharif     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Dry chillies,2011,Summer     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Groundnut,2011,Kharif     ,Puducherry,16,30,1434.5875,2680.32,5.28,1.88
Groundnut,2011,Rabi       ,Puducherry,282,389,1434.5875,47240.64,93.06,1.195
Groundnut,2011,Summer     ,Puducherry,21,38,1434.5875,3517.92,6.93,1.47
Jowar,2011,Summer     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Moong(Green Gram),2011,Kharif     ,Puducherry,1,1,1434.5875,167.52,0.33,1
Moong(Green Gram),2011,Rabi       ,Puducherry,3,1,1434.5875,502.56,0.99,0.25
Moong(Green Gram),2011,Summer     ,Puducherry,1310,481,1434.5875,219451.2,432.3,0.495
Onion,2011,Rabi       ,Puducherry,1,7,1434.5875,167.52,0.33,7
Other  Rabi pulses,2011,Rabi       ,Puducherry,20,20,1434.5875,3350.4,6.6,1
Other Kharif pulses,2011,Kharif     ,Puducherry,1,1,1434.5875,167.52,0.33,1
Other Kharif pulses,2011,Rabi       ,Puducherry,20,20,1434.5875,3350.4,6.6,1
Ragi,2011,Kharif     ,Puducherry,12,33,1434.5875,2010.24,3.96,2.75
Ragi,2011,Summer     ,Puducherry,10,25,1434.5875,1675.2,3.3,2.5
Rice,2011,Kharif     ,Puducherry,4237,12794,1434.5875,709782.24,1398.21,3.046666667
Rice,2011,Rabi       ,Puducherry,10324,23489,1434.5875,1729476.48,3406.92,2.856666667
Rice,2011,Summer     ,Puducherry,2015,5831,1434.5875,337552.8,664.95,2.49
Sesamum,2011,Kharif     ,Puducherry,3,2,1434.5875,502.56,0.99,0.67
Sesamum,2011,Rabi       ,Puducherry,6,4,1434.5875,1005.12,1.98,0.67
Sesamum,2011,Summer     ,Puducherry,113,92,1434.5875,18929.76,37.29,0.58
Sugarcane,2011,Kharif     ,Puducherry,1949,287785,1434.5875,326496.48,643.17,147.66
Tapioca,2011,Kharif     ,Puducherry,245,6064,1434.5875,41042.4,80.85,18.725
Tapioca,2011,Rabi       ,Puducherry,1,24,1434.5875,167.52,0.33,24
Turmeric,2011,Kharif     ,Puducherry,2,3,1434.5875,335.04,0.66,1.5
Turmeric,2011,Rabi       ,Puducherry,4,6,1434.5875,670.08,1.32,1.5
Urad,2011,Kharif     ,Puducherry,15,12,1434.5875,2512.8,4.95,0.8
Urad,2011,Rabi       ,Puducherry,224,242,1434.5875,37524.48,73.92,0.83
Urad,2011,Summer     ,Puducherry,832,317,1434.5875,139376.64,274.56,0.563333333
Arecanut,2011,Rabi       ,Assam,68699,60075,1743.4,11508456.48,22670.67,0.878148148
Arhar/Tur,2011,Kharif     ,Assam,5697,4467,1743.4,954361.44,1880.01,0.774074074
Banana,2011,Whole Year ,Assam,47563,729102,1743.4,7967753.76,15695.79,14.98222222
Black pepper,2011,Whole Year ,Assam,3647,5198,1743.4,610945.44,1203.51,1.597777778
Castor seed,2011,Kharif     ,Assam,1024,538,1743.4,171540.48,337.92,0.515833333
Coconut ,2011,Whole Year ,Assam,20710,175613000,1743.4,3469339.2,6834.3,7299.402593
Cotton(lint),2011,Kharif     ,Assam,1230,581,1743.4,206049.6,405.9,0.595652174
Dry chillies,2011,Whole Year ,Assam,19526,12871,1743.4,3270995.52,6443.58,0.655185185
Ginger,2011,Whole Year ,Assam,16338,121369,1743.4,2736941.76,5391.54,7.513333333
Gram,2011,Rabi       ,Assam,1823,955,1743.4,305388.96,601.59,0.5328
Jute,2011,Kharif     ,Assam,65560,608023,1743.4,10982611.2,21634.8,9.125555556
Linseed,2011,Rabi       ,Assam,7037,3981,1743.4,1178838.24,2322.21,0.536086957
Maize,2011,Kharif     ,Assam,21297,17075,1743.4,3567673.44,7028.01,0.693333333
Masoor,2011,Rabi       ,Assam,22544,11798,1743.4,3776570.88,7439.52,0.526
Mesta,2011,Kharif     ,Assam,4877,27718,1743.4,816995.04,1609.41,5.8716
Moong(Green Gram),2011,Rabi       ,Assam,11512,6347,1743.4,1928490.24,3798.96,0.524074074
Niger seed,2011,Kharif     ,Assam,8423,4372,1743.4,1411020.96,2779.59,0.604347826
Onion,2011,Whole Year ,Assam,7372,22595,1743.4,1234957.44,2432.76,3.02962963
Peas & beans (Pulses),2011,Rabi       ,Assam,21151,13602,1743.4,3543215.52,6979.83,0.645925926
Potato,2011,Whole Year ,Assam,97816,682597,1743.4,16386136.32,32279.28,7.035925926
Rapeseed &Mustard,2011,Rabi       ,Assam,247949,138647,1743.4,41536416.48,81823.17,0.538888889
Rice,2011,Autumn     ,Assam,276486,338015,1743.4,46316934.72,91240.38,1.268518519
Rice,2011,Summer     ,Assam,393619,1080072,1743.4,65939054.88,129894.27,2.489615385
Rice,2011,Winter     ,Assam,1875601,3297591,1743.4,314200679.5,618948.33,1.797037037
Sesamum,2011,Kharif     ,Assam,11801,7957,1743.4,1976903.52,3894.33,0.594444444
Small millets,2011,Kharif     ,Assam,3991,2041,1743.4,668572.32,1317.03,0.523913043
Sugarcane,2011,Whole Year ,Assam,28404,1052514,1743.4,4758238.08,9373.32,37.69074074
Sweet potato,2011,Whole Year ,Assam,6558,25769,1743.4,1098596.16,2164.14,4.177777778
Tapioca,2011,Whole Year ,Assam,3875,28281,1743.4,649140,1278.75,8.222307692
Tobacco,2011,Whole Year ,Assam,341,186,1743.4,57124.32,112.53,0.631304348
Turmeric,2011,Whole Year ,Assam,15447,13442,1743.4,2587681.44,5097.51,0.864444444
Urad,2011,Rabi       ,Assam,53669,29832,1743.4,8990630.88,17710.77,0.565555556
Wheat,2011,Rabi       ,Assam,40194,48592,1743.4,6733298.88,13264.02,1.169615385
Arecanut,2011,Whole Year ,Andhra Pradesh,562,275,861.9,94146.24,185.46,0.296666667
Arhar/Tur,2011,Kharif     ,Andhra Pradesh,478657,144679,861.9,80184620.64,157956.81,0.435454545
Arhar/Tur,2011,Rabi       ,Andhra Pradesh,2841,1409,861.9,475924.32,937.53,0.455294118
Bajra,2011,Kharif     ,Andhra Pradesh,32415,47506,861.9,5430160.8,10696.95,1.221764706
Bajra,2011,Rabi       ,Andhra Pradesh,10748,11138,861.9,1800504.96,3546.84,1.235
Banana,2011,Whole Year ,Andhra Pradesh,62103,2308295,861.9,10403494.56,20493.99,35.52157895
Cashewnut,2011,Whole Year ,Andhra Pradesh,137898,38894,861.9,23100672.96,45506.34,0.351538462
Castor seed,2011,Kharif     ,Andhra Pradesh,253280,52509,861.9,42429465.6,83582.4,0.402777778
Coconut ,2011,Whole Year ,Andhra Pradesh,103967,1430853709,861.9,17416551.84,34309.11,12604.71833
Coriander,2011,Whole Year ,Andhra Pradesh,12821,7427,861.9,2147773.92,4230.93,0.6025
Cotton(lint),2011,Kharif     ,Andhra Pradesh,2062999,3181907,861.9,345593592.5,680789.67,1.548181818
Cowpea(Lobia),2011,Kharif     ,Andhra Pradesh,4718,1119,861.9,790359.36,1556.94,0.225
Cowpea(Lobia),2011,Rabi       ,Andhra Pradesh,15567,12408,861.9,2607783.84,5137.11,0.801764706
Dry chillies,2011,Kharif     ,Andhra Pradesh,201013,631557,861.9,33673697.76,66334.29,2.798
Dry chillies,2011,Rabi       ,Andhra Pradesh,47251,172647,861.9,7915487.52,15592.83,3.100909091
Garlic,2011,Whole Year ,Andhra Pradesh,429,930,861.9,71866.08,141.57,2.136
Ginger,2011,Whole Year ,Andhra Pradesh,2369,21883,861.9,396854.88,781.77,8.742222222
Gram,2011,Rabi       ,Andhra Pradesh,564754,519918,861.9,94607590.08,186368.82,1.1105
Groundnut,2011,Kharif     ,Andhra Pradesh,1056654,381759,861.9,177010678.1,348695.82,1.129047619
Groundnut,2011,Rabi       ,Andhra Pradesh,250382,462862,861.9,41943992.64,82626.06,2.021363636
Horse-gram,2011,Kharif     ,Andhra Pradesh,5878,2699,861.9,984682.56,1939.74,0.375
Horse-gram,2011,Rabi       ,Andhra Pradesh,24983,10520,861.9,4185152.16,8244.39,0.345
Jowar,2011,Kharif     ,Andhra Pradesh,103263,153600,861.9,17298617.76,34076.79,1.584736842
Jowar,2011,Rabi       ,Andhra Pradesh,173335,342633,861.9,29037079.2,57200.55,2.3115
Linseed,2011,Rabi       ,Andhra Pradesh,744,158,861.9,124634.88,245.52,0.2
Maize,2011,Kharif     ,Andhra Pradesh,530919,1492303,861.9,88939550.88,175203.27,3.427727273
Maize,2011,Rabi       ,Andhra Pradesh,332805,2163376,861.9,55751493.6,109825.65,6.432272727
Mesta,2011,Kharif     ,Andhra Pradesh,25760,199619,861.9,4315315.2,8500.8,5.77625
Moong(Green Gram),2011,Kharif     ,Andhra Pradesh,152088,82507,861.9,25477781.76,50189.04,0.537727273
Moong(Green Gram),2011,Rabi       ,Andhra Pradesh,131376,79912,861.9,22008107.52,43354.08,0.6295
Niger seed,2011,Kharif     ,Andhra Pradesh,6880,2558,861.9,1152537.6,2270.4,0.28
Onion,2011,Kharif     ,Andhra Pradesh,39613,554878,861.9,6635969.76,13072.29,13.41823529
Onion,2011,Rabi       ,Andhra Pradesh,17378,444871,861.9,2911162.56,5734.74,24.52894737
Other  Rabi pulses,2011,Rabi       ,Andhra Pradesh,5856,4569,861.9,980997.12,1932.48,0.625
Other Kharif pulses,2011,Kharif     ,Andhra Pradesh,3459,1459,861.9,579451.68,1141.47,0.487142857
Potato,2011,Whole Year ,Andhra Pradesh,6057,60802,861.9,1014668.64,1998.81,10.52428571
Ragi,2011,Kharif     ,Andhra Pradesh,37057,31267,861.9,6207788.64,12228.81,0.993846154
Ragi,2011,Rabi       ,Andhra Pradesh,5379,9505,861.9,901090.08,1775.07,1.690909091
Rapeseed &Mustard,2011,Rabi       ,Andhra Pradesh,6617,16183,861.9,1108479.84,2183.61,2.444285714
Rice,2011,Kharif     ,Andhra Pradesh,2873949,8563334,861.9,481443936.5,948403.17,2.909090909
Rice,2011,Rabi       ,Andhra Pradesh,1221899,4328458,861.9,204692520.5,403226.67,3.031818182
Safflower,2011,Rabi       ,Andhra Pradesh,10080,7508,861.9,1688601.6,3326.4,0.73125
Sesamum,2011,Kharif     ,Andhra Pradesh,33178,7939,861.9,5557978.56,10948.74,0.270526316
Sesamum,2011,Rabi       ,Andhra Pradesh,39315,12144,861.9,6586048.8,12973.95,0.312105263
Small millets,2011,Kharif     ,Andhra Pradesh,27150,17001,861.9,4548168,8959.5,0.723636364
Small millets,2011,Rabi       ,Andhra Pradesh,1841,1519,861.9,308404.32,607.53,0.745
Soyabean,2011,Kharif     ,Andhra Pradesh,130488,210812,861.9,21859349.76,43061.04,1.570769231
Sugarcane,2011,Whole Year ,Andhra Pradesh,204038,16688857,861.9,34180445.76,67332.54,86.0155
Sunflower,2011,Whole Year ,Andhra Pradesh,157535,123565,861.9,26390263.2,51986.55,0.978181818
Sweet potato,2011,Whole Year ,Andhra Pradesh,980,12599,861.9,164169.6,323.4,12.91733333
Tapioca,2011,Whole Year ,Andhra Pradesh,12793,127953,861.9,2143083.36,4221.69,9.755
Tobacco,2011,Whole Year ,Andhra Pradesh,213472,766816,861.9,35760829.44,70445.76,4.583953488
Urad,2011,Kharif     ,Andhra Pradesh,62571,40360,861.9,10481893.92,20648.43,0.598095238
Urad,2011,Rabi       ,Andhra Pradesh,477139,327400,861.9,79930325.28,157455.87,0.5575
Wheat,2011,Rabi       ,Andhra Pradesh,8255,10914,861.9,1382877.6,2724.15,1.306666667
other oilseeds,2011,Kharif     ,Andhra Pradesh,49216,1050821,861.9,8244664.32,16241.28,18.69818182
other oilseeds,2011,Rabi       ,Andhra Pradesh,6967,4422,861.9,1167111.84,2299.11,5.8575
Arecanut,2011,Whole Year ,Karnataka,216168,1750573,1178.986364,36212463.36,71335.44,8.221904762
Arhar/Tur,2011,Kharif     ,Karnataka,767419,351611,1178.986364,128558030.9,253248.27,0.52
Bajra,2011,Kharif     ,Karnataka,281701,256072,1178.986364,47190551.52,92961.33,0.802352941
Bajra,2011,Rabi       ,Karnataka,1350,1225,1178.986364,226152,445.5,0.98
Bajra,2011,Summer     ,Karnataka,3193,3328,1178.986364,534891.36,1053.69,1.013333333
Banana,2011,Whole Year ,Karnataka,69256,1730522,1178.986364,11601765.12,22854.48,25.06172414
Black pepper,2011,Whole Year ,Karnataka,21701,6148,1178.986364,3635351.52,7161.33,0.296923077
Cardamom,2011,Whole Year ,Karnataka,19363,1583,1178.986364,3243689.76,6389.79,0.093333333
Cashewnut,2011,Whole Year ,Karnataka,63165,50584,1178.986364,10581400.8,20844.45,0.864090909
Castor seed,2011,Kharif     ,Karnataka,16282,13651,1178.986364,2727560.64,5373.06,0.857916667
Coconut ,2011,Whole Year ,Karnataka,443753,4411600000,1178.986364,74337502.56,146438.49,9984.488333
Coriander,2011,Whole Year ,Karnataka,3042,1236,1178.986364,509595.84,1003.86,0.406
Cotton(lint),2011,Kharif     ,Karnataka,498264,1151643,1178.986364,83469185.28,164427.12,2.251818182
Cotton(lint),2011,Rabi       ,Karnataka,71476,50923,1178.986364,11973659.52,23587.08,1.402857143
Cowpea(Lobia),2011,Kharif     ,Karnataka,68089,35959,1178.986364,11406269.28,22469.37,0.55
Cowpea(Lobia),2011,Rabi       ,Karnataka,20294,7158,1178.986364,3399650.88,6697.02,0.353571429
Dry chillies,2011,Kharif     ,Karnataka,88218,71254,1178.986364,14778279.36,29111.94,0.973448276
Dry chillies,2011,Rabi       ,Karnataka,6537,15414,1178.986364,1095078.24,2157.21,2.375714286
Dry chillies,2011,Summer     ,Karnataka,5662,19828,1178.986364,948498.24,1868.46,3.4856
Garlic,2011,Whole Year ,Karnataka,5100,6365,1178.986364,854352,1683,1.326666667
Ginger,2011,Whole Year ,Karnataka,29388,93513,1178.986364,4923077.76,9698.04,3.161666667
Gram,2011,Rabi       ,Karnataka,802666,358478,1178.986364,134462608.3,264879.78,0.4464
Groundnut,2011,Kharif     ,Karnataka,509848,295650,1178.986364,85409736.96,168249.84,0.694444444
Groundnut,2011,Rabi       ,Karnataka,167796,141687,1178.986364,28109185.92,55372.68,0.968928571
Horse-gram,2011,Kharif     ,Karnataka,65620,35860,1178.986364,10992662.4,21654.6,0.581538462
Horse-gram,2011,Rabi       ,Karnataka,113665,57234,1178.986364,19041160.8,37509.45,0.464285714
Jowar,2011,Kharif     ,Karnataka,188170,277346,1178.986364,31522238.4,62096.1,1.361428571
Jowar,2011,Rabi       ,Karnataka,934836,714847,1178.986364,156603726.7,308495.88,0.805882353
Jowar,2011,Summer     ,Karnataka,10517,19242,1178.986364,1761807.84,3470.61,1.832307692
Linseed,2011,Rabi       ,Karnataka,8522,2085,1178.986364,1427605.44,2812.26,0.29
Maize,2011,Kharif     ,Karnataka,1206528,3433881,1178.986364,202117570.6,398154.24,2.855357143
Maize,2011,Rabi       ,Karnataka,111362,347253,1178.986364,18655362.24,36749.46,3.0375
Maize,2011,Summer     ,Karnataka,31494,106783,1178.986364,5275874.88,10393.02,3.159655172
Mesta,2011,Whole Year ,Karnataka,825,1028,1178.986364,138204,272.25,1.202857143
Moong(Green Gram),2011,Kharif     ,Karnataka,283536,72069,1178.986364,47497950.72,93566.88,0.259166667
Moong(Green Gram),2011,Rabi       ,Karnataka,8723,2915,1178.986364,1461276.96,2878.59,0.337647059
Niger seed,2011,Kharif     ,Karnataka,18547,5042,1178.986364,3106993.44,6120.51,0.268846154
Onion,2011,Kharif     ,Karnataka,136540,674001,1178.986364,22873180.8,45058.2,5.5184
Onion,2011,Rabi       ,Karnataka,13695,108989,1178.986364,2294186.4,4519.35,8.495454545
Onion,2011,Summer     ,Karnataka,3572,21998,1178.986364,598381.44,1178.76,6.214285714
Other  Rabi pulses,2011,Rabi       ,Karnataka,9968,8479,1178.986364,1669839.36,3289.44,0.808888889
Other Kharif pulses,2011,Kharif     ,Karnataka,67383,65344,1178.986364,11288000.16,22236.39,0.879230769
Peas & beans (Pulses),2011,Kharif     ,Karnataka,3589,31982,1178.986364,601229.28,1184.37,8.606666667
Peas & beans (Pulses),2011,Rabi       ,Karnataka,1321,9710,1178.986364,221293.92,435.93,7.387647059
Peas & beans (Pulses),2011,Summer     ,Karnataka,1345,12183,1178.986364,225314.4,443.85,8.729333333
Potato,2011,Kharif     ,Karnataka,30868,255098,1178.986364,5171007.36,10186.44,8.90875
Potato,2011,Rabi       ,Karnataka,6763,82152,1178.986364,1132937.76,2231.79,12.50666667
Potato,2011,Summer     ,Karnataka,737,10633,1178.986364,123462.24,243.21,14.4325
Ragi,2011,Kharif     ,Karnataka,638473,1086824,1178.986364,106956997,210696.09,1.47
Ragi,2011,Rabi       ,Karnataka,33850,50937,1178.986364,5670552,11170.5,1.75125
Ragi,2011,Summer     ,Karnataka,7608,14649,1178.986364,1274492.16,2510.64,1.932142857
Rapeseed &Mustard,2011,Rabi       ,Karnataka,4209,1204,1178.986364,705091.68,1388.97,0.295
Rice,2011,Kharif     ,Karnataka,1117720,3218289,1178.986364,187240454.4,368847.6,2.702666667
Rice,2011,Rabi       ,Karnataka,43192,94196,1178.986364,7235523.84,14253.36,2.378181818
Rice,2011,Summer     ,Karnataka,255223,869134,1178.986364,42754956.96,84223.59,2.931428571
Safflower,2011,Rabi       ,Karnataka,55288,34047,1178.986364,9261845.76,18245.04,0.586875
Sannhamp,2011,Whole Year ,Karnataka,42,10,1178.986364,7035.84,13.86,0.225
Sesamum,2011,Kharif     ,Karnataka,60680,30545,1178.986364,10165113.6,20024.4,0.453214286
Small millets,2011,Kharif     ,Karnataka,23174,12622,1178.986364,3882108.48,7647.42,0.4965
Soyabean,2011,Kharif     ,Karnataka,190973,192764,1178.986364,31991796.96,63021.09,0.8975
Sugarcane,2011,Whole Year ,Karnataka,431405,39470478,1178.986364,72268965.6,142363.65,89.37346154
Sunflower,2011,Kharif     ,Karnataka,190774,82494,1178.986364,31958460.48,62955.42,0.50625
Sunflower,2011,Rabi       ,Karnataka,172011,65833,1178.986364,28815282.72,56763.63,0.581818182
Sunflower,2011,Summer     ,Karnataka,18482,18869,1178.986364,3096104.64,6099.06,1.035
Sweet potato,2011,Whole Year ,Karnataka,1836,26754,1178.986364,307566.72,605.88,14.10642857
Tapioca,2011,Whole Year ,Karnataka,860,9077,1178.986364,144067.2,283.8,10.35222222
Tobacco,2011,Whole Year ,Karnataka,114558,104965,1178.986364,19190756.16,37804.14,0.943076923
Turmeric,2011,Whole Year ,Karnataka,25525,128206,1178.986364,4275948,8423.25,4.57875
Urad,2011,Kharif     ,Karnataka,84014,30814,1178.986364,14074025.28,27724.62,0.374782609
Urad,2011,Rabi       ,Karnataka,8260,4199,1178.986364,1383715.2,2725.8,0.51125
Wheat,2011,Rabi       ,Karnataka,225472,200932,1178.986364,37771069.44,74405.76,0.981333333
Arecanut,2011,Whole Year ,Kerala,104548.36,121623,3035.1,17513941.27,34500.9588,0.92
Banana,2011,Whole Year ,Kerala,59069.4,514054,3035.1,9895305.888,19492.902,8.229285714
Black pepper,2011,Whole Year ,Kerala,85335.38,37501,3035.1,14295382.86,28160.6754,0.369285714
Cardamom,2011,Whole Year ,Kerala,8510,723,3035.1,1425595.2,2808.3,0.03875
Cashewnut,2011,Whole Year ,Kerala,54052.21,36743,3035.1,9054826.219,17837.2293,0.381428571
Coconut ,2011,Whole Year ,Kerala,820866.94,5940564000,3035.1,137511629.8,270886.0902,6884.550714
Ginger,2011,Whole Year ,Kerala,6907.59,37125,3035.1,1157159.477,2279.5047,3.563571429
Potato,2011,Whole Year ,Kerala,386,4827,3035.1,64662.72,127.38,11.5
Rice,2011,Autumn     ,Kerala,68134.83,171662,3035.1,11413946.72,22484.4939,2.301538462
Rice,2011,Summer     ,Kerala,47290.01,149217,3035.1,7922022.475,15605.7033,2.7
Rice,2011,Winter     ,Kerala,92734.9,248114,3035.1,15534950.45,30602.517,2.426428571
Sesamum,2011,Kharif     ,Kerala,196.56,76,3035.1,32927.7312,64.8648,0.25375
Sugarcane,2011,Whole Year ,Kerala,2604.41,263034,3035.1,436290.7632,859.4553,38.00357143
Tapioca,2011,Whole Year ,Kerala,74497.84,2547399,3035.1,12479878.16,24584.2872,34.15642857
Tobacco,2011,Whole Year ,Kerala,43,69,3035.1,7203.36,14.19,1.6
Turmeric,2011,Whole Year ,Kerala,2970.45,7946,3035.1,497609.784,980.2485,2.467142857
Arecanut,2011,Whole Year ,Meghalaya,15448,21751,4083.104545,2587848.96,5097.84,1.228571429
Arhar/Tur,2011,Kharif     ,Meghalaya,788,921,4083.104545,132005.76,260.04,0.96
Banana,2011,Kharif     ,Meghalaya,6919,82125,4083.104545,1159070.88,2283.27,10.37
Black pepper,2011,Whole Year ,Meghalaya,911,493,4083.104545,152610.72,300.63,0.537142857
Cashewnut,2011,Whole Year ,Meghalaya,8697,15720,4083.104545,1456921.44,2870.01,1.493333333
Castor seed,2011,Kharif     ,Meghalaya,30,16,4083.104545,5025.6,9.9,0.66
Cotton(lint),2011,Kharif     ,Meghalaya,6871,6389,4083.104545,1151029.92,2267.43,0.903333333
Dry chillies,2011,Whole Year ,Meghalaya,1893,1474,4083.104545,317115.36,624.69,1.041428571
Ginger,2011,Kharif     ,Meghalaya,9461,58132,4083.104545,1584906.72,3122.13,7.397142857
Gram,2011,Rabi       ,Meghalaya,561,352,4083.104545,93978.72,185.13,0.59
Jute,2011,Kharif     ,Meghalaya,3889,34563,4083.104545,651485.28,1283.37,6.87
Linseed,2011,Rabi       ,Meghalaya,85,41,4083.104545,14239.2,28.05,0.48
Maize,2011,Kharif     ,Meghalaya,17303,26939,4083.104545,2898598.56,5709.99,1.58
Masoor,2011,Rabi       ,Meghalaya,356,296,4083.104545,59637.12,117.48,0.7875
Mesta,2011,Kharif     ,Meghalaya,4125,18433,4083.104545,691020,1361.25,4.54
Other  Rabi pulses,2011,Rabi       ,Meghalaya,890,642,4083.104545,149092.8,293.7,0.71
Peas & beans (Pulses),2011,Rabi       ,Meghalaya,1053,1488,4083.104545,176398.56,347.49,1.315714286
Potato,2011,Whole Year ,Meghalaya,17717,165670,4083.104545,2967951.84,5846.61,7.448571429
Rapeseed &Mustard,2011,Rabi       ,Meghalaya,7193,4902,4083.104545,1204971.36,2373.69,0.6
Rice,2011,Autumn     ,Meghalaya,32605,43401,4083.104545,5461989.6,10759.65,1.511428571
Rice,2011,Rabi       ,Meghalaya,12836,54206,4083.104545,2150286.72,4235.88,2.07
Rice,2011,Winter     ,Meghalaya,63434,125124,4083.104545,10626463.68,20933.22,1.91
Sesamum,2011,Kharif     ,Meghalaya,1592,867,4083.104545,266691.84,525.36,0.598333333
Small millets,2011,Rabi       ,Meghalaya,2290,1755,4083.104545,383620.8,755.7,0.938571429
Soyabean,2011,Kharif     ,Meghalaya,1098,1231,4083.104545,183936.96,362.34,1.082857143
Sugarcane,2011,Whole Year ,Meghalaya,74,199,4083.104545,12396.48,24.42,2.444
Sweet potato,2011,Kharif     ,Meghalaya,4164,13701,4083.104545,697553.28,1374.12,3.63
Tapioca,2011,Kharif     ,Meghalaya,4203,22046,4083.104545,704086.56,1386.99,6.122857143
Tobacco,2011,Rabi       ,Meghalaya,641,434,4083.104545,107380.32,211.53,0.7575
Turmeric,2011,Whole Year ,Meghalaya,2000,10512,4083.104545,335040,660,5.21
Wheat,2011,Rabi       ,Meghalaya,395,710,4083.104545,66170.4,130.35,1.34
Arecanut,2011,Whole Year ,Tamil Nadu,6509,15948,926.5,1090387.68,2147.97,2.054583333
Arhar/Tur,2011,Whole Year ,Tamil Nadu,35968,31292,926.5,6025359.36,11869.44,0.867037037
Bajra,2011,Kharif     ,Tamil Nadu,30837,68165,926.5,5165814.24,10176.21,2.1
Bajra,2011,Rabi       ,Tamil Nadu,15827,46282,926.5,2651339.04,5222.91,2.827272727
Banana,2011,Whole Year ,Tamil Nadu,103107,4505435,926.5,17272484.64,34025.31,43.34580645
Black pepper,2011,Whole Year ,Tamil Nadu,3767,856,926.5,631047.84,1243.11,0.174285714
Cardamom,2011,Whole Year ,Tamil Nadu,4321,393,926.5,723853.92,1425.93,0.073636364
Cashewnut,2011,Whole Year ,Tamil Nadu,97033,25532,926.5,16254968.16,32020.89,0.285172414
Castor seed,2011,Whole Year ,Tamil Nadu,6202,1861,926.5,1038959.04,2046.66,0.767407407
Coconut ,2011,Whole Year ,Tamil Nadu,419400,6200900000,926.5,70257888,138402,13248.16226
Coriander,2011,Whole Year ,Tamil Nadu,10804,5049,926.5,1809886.08,3565.32,0.454583333
Cotton(lint),2011,Kharif     ,Tamil Nadu,107036,302611,926.5,17930670.72,35321.88,3.036923077
Cotton(lint),2011,Rabi       ,Tamil Nadu,28769,79158,926.5,4819382.88,9493.77,2.83
Dry chillies,2011,Whole Year ,Tamil Nadu,56442,24640,926.5,9455163.84,18625.86,0.532258065
Garlic,2011,Whole Year ,Tamil Nadu,442,2544,926.5,74043.84,145.86,4.335
Ginger,2011,Whole Year ,Tamil Nadu,635,7011,926.5,106375.2,209.55,11.01444444
Gram,2011,Whole Year ,Tamil Nadu,8592,5520,926.5,1439331.84,2835.36,0.590625
Groundnut,2011,Kharif     ,Tamil Nadu,249079,548503,926.5,41725714.08,82196.07,2.228
Groundnut,2011,Rabi       ,Tamil Nadu,136533,512151,926.5,22872008.16,45055.89,3.583793103
Horse-gram,2011,Whole Year ,Tamil Nadu,68968,37181,926.5,11553519.36,22759.44,0.5356
Jowar,2011,Kharif     ,Tamil Nadu,134231,147052,926.5,22486377.12,44296.23,1.18173913
Jowar,2011,Rabi       ,Tamil Nadu,63465,105469,926.5,10631656.8,20943.45,1.6525
Jute,2011,Kharif     ,Tamil Nadu,3,0,926.5,502.56,0.99,0
Maize,2011,Kharif     ,Tamil Nadu,176287,1001667,926.5,29531598.24,58174.71,5.832307692
Maize,2011,Rabi       ,Tamil Nadu,104342,693800,926.5,17479371.84,34432.86,6.611481481
Moong(Green Gram),2011,Whole Year ,Tamil Nadu,164069,85118,926.5,27484838.88,54142.77,0.600344828
Onion,2011,Whole Year ,Tamil Nadu,34913,376947,926.5,5848625.76,11521.29,11.16703704
Potato,2011,Whole Year ,Tamil Nadu,4673,92207,926.5,782820.96,1542.09,19.59125
Ragi,2011,Kharif     ,Tamil Nadu,68835,181491,926.5,11531239.2,22715.55,2.607083333
Ragi,2011,Rabi       ,Tamil Nadu,13970,43371,926.5,2340254.4,4610.1,2.879090909
Rapeseed &Mustard,2011,Rabi       ,Tamil Nadu,344,84,926.5,57626.88,113.52,0.226666667
Rice,2011,Kharif     ,Tamil Nadu,1903772,7458657,926.5,318919885.4,628244.76,4.226451613
Sesamum,2011,Whole Year ,Tamil Nadu,43175,26447,926.5,7232676,14247.75,0.577931034
Small millets,2011,Whole Year ,Tamil Nadu,30150,36407,926.5,5050728,9949.5,1.311304348
Sugarcane,2011,Whole Year ,Tamil Nadu,346350,38974842,926.5,58020552,114295.5,113.736
Sunflower,2011,Whole Year ,Tamil Nadu,13610,24622,926.5,2279947.2,4491.3,1.779230769
